epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.1004,0.84926,3.18014,1.20031,0.00448,0.77853,0.21687,0.16892,0.76695,2.98717,1.10294,0.000467977,0.000467977,0.000467977
2,88.8324,1.02994,2.72322,1.30685,0.39305,0.34397,0.30706,0.21246,0.99771,2.23463,1.26293,0.000934961,0.000934961,0.000934961
3,110.225,1.01095,2.42334,1.29023,0.3007,0.33204,0.29603,0.21923,1.03362,2.12368,1.36299,0.00139251,0.00139251,0.00139251
4,131.811,1.00614,2.35789,1.27429,0.2878,0.42811,0.32482,0.26683,0.97689,2.16501,1.26855,0.00138656,0.00138656,0.00138656
5,153.369,1.01416,2.18535,1.27336,0.30765,0.42489,0.31758,0.22349,1.00854,2.6852,1.3325,0.00137241,0.00137241,0.00137241
6,174.872,1.04643,2.14967,1.31641,0.5949,0.41164,0.42532,0.30191,1.05203,2.02245,1.42921,0.00135826,0.00135826,0.00135826
7,196.35,1.03688,2.07478,1.32085,0.26324,0.50567,0.32755,0.2315,1.09648,2.87202,1.45598,0.00134412,0.00134412,0.00134412
8,218.149,0.95928,1.98197,1.27333,0.55688,0.32133,0.3436,0.26244,0.97383,2.27551,1.31863,0.00132997,0.00132997,0.00132997
9,239.561,0.98277,1.91457,1.26104,0.64112,0.40683,0.43335,0.33622,1.00481,1.89768,1.33038,0.00131582,0.00131582,0.00131582
10,261.183,0.95874,1.82664,1.25074,0.88718,0.35496,0.45663,0.37361,0.9477,1.80528,1.27237,0.00130168,0.00130168,0.00130168
11,282.924,0.94118,1.83041,1.22989,0.47399,0.39362,0.39301,0.30921,1.00608,1.97486,1.29744,0.00128753,0.00128753,0.00128753
12,304.599,0.88551,1.73179,1.18505,0.6736,0.38943,0.47417,0.34666,1.04744,1.91294,1.34685,0.00127338,0.00127338,0.00127338
13,326.309,0.93718,1.66444,1.19298,0.51081,0.46519,0.4549,0.32727,0.97984,1.73243,1.29322,0.00125923,0.00125923,0.00125923
